user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
stillgray,"Things that are racist and/or sexist in January 2018:

Non-black people of color
Meritocracy
Memes made by Ugandan Wakaliwood filmmakers
Monster Hunter World
Capitalism
Intellectual rigor
James Bond
12 Strong
H&amp;M
Monty Python
Thomas the Tank Engine
The Spanish word for ""black.""",2018-01-28T15:21:29.000Z,https://t.co/zeCKyEiTgB,Ian Miles Cheong,Telegram,true,343,1253,26,112,-1141,-317
Airthuggin,Y’all made H&amp;M drop prices by 80% I need y’all to find the most racist thing gucci ever done so I can go shopping,2018-01-17T23:00:58.000Z,,Big Stepper,UPTOWN,false,492,735,44,4,-731,-448
jamesbardolph,This thing with H&amp;M is so stupid. This is how I was sent the image as it was ‘doing the rounds’. Is the photo racist or are the people viewing it? 🤷🏽‍♂️ everybody wants to be upset about something https://t.co/xzSiVc8lNO,2018-01-16T21:02:13.000Z,https://t.co/nDqjPzthob,James Bardolph,London / Los Angeles / The Oceans,true,67,731,3,64,-667,-64
tariqnasheed,"The African parents of the child H&amp;M model who appeared in a racist ad, are on tv buck dancing...BTW, who does that dad look like? 🚂🚂😂😂 https://t.co/2rn6BbQTD8",2018-01-16T00:44:54.000Z,https://t.co/yAUICwSl4j,Tariq Nasheed 🇺🇸,Los Angeles,true,341,589,113,408,-181,-228
ajplus,H&amp;M closed its South African stores after protests over a racist ad. https://t.co/7GW0u1XfT4,2018-01-16T04:51:10.000Z,https://t.co/dffekhz2Zn,AJ+,NA,true,305,392,65,31,-361,-240
Blayofficial,"“Coolest Monkey in the jungle”

@hm I hope this was a coincidence and not intentional. https://t.co/QbjG0nYEio",2018-01-07T23:35:02.000Z,https://t.co/aVBgyGzAOS,Blay 🤞🏿🇬🇭,"London, England",false,335,372,32,17,-355,-303
CNN,"H&amp;M has appointed a diversity manager after dealing with the fallout from using a black child to advertise a hoodie with the slogan ""coolest monkey in the jungle"" https://t.co/QK2tetYYML https://t.co/TxmJ7tnrKD",2018-01-18T00:09:06.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,180,307,112,201,-106,-68
BBCWorld,H&amp;M child model's mum says ad 'not racist' https://t.co/l69E4sFLWk,2018-01-16T23:16:46.000Z,https://t.co/7NEgoMwJy3,BBC News (World),"London, UK",true,124,306,44,100,-206,-80
AdvoBarryRoux,"David O'Sullivan on H&amp;M EFF protest.

""As a white man, I'm the last person to tell a black person how to identify or react to racism."" https://t.co/LwDhqYPGtz",2018-01-16T11:57:30.000Z,,Man’s NOT Barry Roux ,South Africa,false,86,274,3,15,-259,-83
ComedyClark,The manager at H&amp;M offered me a 70% Discount to promote their weekend deal. They really thought that I’d sellout my race and turn my back towards blatant racism for a BOGO off their Denim Jean Jackets that only goes on for this weekend from 12pm to 4pm. Who tf do they think I am?,2018-01-26T21:04:42.000Z,,Cedric ,"Mankato, MN",false,14,240,1,3,-237,-13
MeSeeks_J,"Pearl Thusi only said that how the EFF handled things were wrong in her view. She did not defend H&amp;M, there's a difference. Oh but now she's being attacked for being a light skinned black. Is that not racist or discrimination in itself?",2018-01-16T12:33:52.000Z,,Jason T.,South Africa,false,77,223,16,35,-188,-61
CNN,"H&amp;M has appointed a diversity manager after dealing with the fallout from using a black child to advertise a hoodie with the slogan ""coolest monkey in the jungle"" https://t.co/xG0hR6S9Jz https://t.co/1V9WZEK8WE",2018-01-18T06:52:38.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,107,214,74,111,-103,-33
billboard,"H&amp;M's apology for their tone-deaf ""monkey"" sweatshirt misstep is ""not enough"" https://t.co/rx3AlHvTdv https://t.co/JyTVcOrzGh",2018-01-12T16:10:25.000Z,https://t.co/HLsfCRuizG,billboard,NA,true,33,197,6,7,-190,-27
RAtheRuggedMan,"hahahahaha. I actually saw people online complaining that no one was boycotting WholeFood for this add. They whined that this is “equally” as racist as the H&amp;M ""coolest monkey in the Jungle"" add. 
 #CrackersLoveCheese https://t.co/01PebXtZaS",2018-01-19T20:48:53.000Z,https://t.co/L5qmoNdvTa,R.A. the Rugged Man,NA,true,71,196,10,27,-169,-61
PeterSweden7,"Remember the 5yr old kid who was in the ""controversial"" H&amp;M ad?

They have now had to move house in Sweden because of threats from other African people.

All The far-left virtue signalling has caused ACTUAL harm to 2 wonderful black people.

SHAME!

https://t.co/bSSdF4O2id https://t.co/nXZpfoo4aQ",2018-01-17T19:54:27.000Z,https://t.co/gqkocsNu9T,PeterSweden,"Møre og Romsdal, Norway",false,104,191,7,20,-171,-97
CNN,"H&amp;M has appointed a diversity manager after dealing with the fallout from using a black child to advertise a hoodie with the slogan ""coolest monkey in the jungle"" https://t.co/I8eZI6IZIL https://t.co/CSqNVkNgYL",2018-01-18T08:31:04.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,95,188,61,66,-122,-34
shaylcrisler,Y’all made H&amp;M drop prices by 80% imma need y’all to find the most racist thing nike and adidas has ever done so I can go shopping,2018-01-16T04:30:06.000Z,,Shay 🦋,NA,false,18,186,1,1,-185,-17
glimpsx,ok please update me. why tf r ppl saying if you wear h&amp;m youre racist. did i miss something,2018-02-05T20:39:33.000Z,https://t.co/xMOmoJB9xl,ッ,NA,false,13,176,0,12,-164,-13
Nnedi,"They insult black people, then retract. The latest: H&amp;M and Trump. This is gaslighting AND satisfying their racist supporters at the same time. https://t.co/rC2w36YQTg",2018-01-12T13:53:11.000Z,https://t.co/rlUokB3Abl,"Nnedi Okorafor, PhD",Oomza University,true,74,174,1,3,-171,-73
cnni,"H&amp;M has appointed a diversity manager after dealing with the fallout from using a black child to advertise a hoodie with the slogan ""coolest monkey in the jungle"" https://t.co/ahem5WmMAI https://t.co/LLEgFJEzwe",2018-01-18T06:42:30.000Z,http://t.co/kdkv08KSgi,CNN International,Everywhere,true,110,151,48,58,-93,-62
MsMelChen,"When something like the H&amp;M monkey sweater debacle happens, why is Occam's razor rarely applied?

Oversight is a far simpler explanation than racist conspiracy. 

And now the outrage has caused real world consequences, displacing a black family!
https://t.co/0JM1SQxPms",2018-01-18T13:20:05.000Z,https://t.co/sUzA0aNyJ3,Melissa Chen,"Los Angeles, CA",false,49,132,5,18,-114,-44
chestermissing,Afriforum’s Ernst Roets on 702 doesn’t think the H&amp;M is racist. Then he says for us to decide Dubuli Bhunu is racist we must ask the people the song is about. Many many black people say H&amp;M ad is racist. Ernst lost an argument with himself on public radio.,2018-01-16T10:55:41.000Z,https://t.co/gEKHL06oye,Chester Missing,SUITCASE in SOUTH AFRICA.,false,83,129,11,18,-111,-72
_ericcurtin,bout to go to h&amp;m and capitalize on their Sorry We Did A Racism sale,2018-01-18T23:57:59.000Z,,eric curtin,"Los Angeles, CA",false,11,128,0,1,-127,-11
fujixguru,"Les histoires de ""coolest monkey if the jungle"" ont fait chuter les prix de H&amp;M de 80%, donc si vous pouviez trouver des trucs bien racistes chez Diesel, Gucci and co ça m'arrangerait parce que faut que je me rachète des fringues. Merci d'avance",2018-01-17T07:02:00.000Z,https://t.co/UtKbxBF19C,Frédéric Baboulaz,NA,false,22,125,0,0,-125,-22
billboardhiphop,".@TalibKweli talks ""Radio Silence""' H&amp;M's controversial 'Monkey' ad &amp; why he thinks Trump Is a 'classic racist' https://t.co/8g1wKqcQz6 https://t.co/r6SjbulKZe",2018-01-17T23:30:22.000Z,https://t.co/YWxIqPFU3C,billboard hip-hop/r&b,IG: @billboardhiphop,true,60,117,4,7,-110,-56
tls123_twt,"Yo listen yall heard about how H&amp;M is underfire for a sweater that said ""coolest monkey in the jungle"" and got a black kid to model it?

That's the sort of reaction yall should have when ppl call Asians rats. CONTEXT changes the meaning of a word.",2018-01-17T00:59:46.000Z,https://t.co/38HVT7w57q,kookadooks⁷,pfp by @1L9l2Aa8UCL0IGJ,false,33,114,1,2,-112,-32
